organization,linkedin,position,startDate,endDate,status,person_id
PwC,https://www.linkedin.com/company/pwc,"Senior Associate, Lawyer",2002-04,2004-09,INACTIVE,48
Fischer,,kraftfahrer,2017-02,2019-04,INACTIVE,49
Fischer,,kraftfahrer,2013-06,2013-06,INACTIVE,49
Daniel Software GmbH,https://www.linkedin.com/company/daniel-software-gmbh,Managing Director,1997,,ACTIVE,50
State Street Global Exchange,,Senior Application Developer,2003-01,2019-09,INACTIVE,50
Building Inspectors SA Pty Ltd,,Building Consultant,2009-07,,ACTIVE,51
SA Attorney General,,Compliance,1985-07,2011-06,INACTIVE,51
Graf Bros.,,Construction manager,1984-06,1985-07,INACTIVE,51
HOCHTIEF ViCon,https://www.linkedin.com/company/hochtief,Managing Director,2017-10,,ACTIVE,52
HOCHTIEF ViCon Qatar W.L.L.,,Managing Director,2009-01,2021-08,INACTIVE,52
HOCHTIEF ViCon GmbH,,International Operations Director,2014-02,2017-09,INACTIVE,52
AURA GmbH & Co. KG,,Kaufmännischer Leiter,,,UNKNOWN,53
"SEC Co., Ltd",,Senior Director,2000-03,,ACTIVE,54
gdp Global Drinks Partnership GmbH,https://www.linkedin.com/company/gdpglobaldrinkspartnership,Commercial Director On Trade,2012-06,,ACTIVE,55
gdp Global Drinks Partnership GmbH,https://www.linkedin.com/company/gdpglobaldrinkspartnership,Commercial Manager,2009-03,2012-06,INACTIVE,55
Heineken,https://www.linkedin.com/company/heineken,Commercial Manager,2008-07,2009-03,INACTIVE,55
Scottish & Newcastle Germany,,Commercial Manager,2004,2008,INACTIVE,55
SF Veranstaltungstechnik,,CEO,2011-09,,ACTIVE,56
SF Veranstaltungstechnik,,Professional Freelancer,2011-09,,ACTIVE,56
Detecon International,https://www.linkedin.com/company/detecon,Senior Manager,2022-06,,ACTIVE,57
Detecon International,https://www.linkedin.com/company/detecon,Managing Consultant,2013-07,2022-07,INACTIVE,57
Lodestone Management Consultants,https://www.linkedin.com/company/lodestone-management-consultants,Managing Consultant,2009-02,2013-06,INACTIVE,57
IBM,https://www.linkedin.com/company/ibm,Managing Consultant,2002-10,2008-01,INACTIVE,57
PricewaterhouseCoopers,https://www.linkedin.com/company/pwc-acceleration-centers,Principle Consultant,1998-10,2002-10,INACTIVE,57
Coopers & Lybrand Consulting,https://www.linkedin.com/company/coopers-&-lybrand-consulting,Consultant,1997-01,1998-09,INACTIVE,57
KBE,,Vertrieb und Logistik,1995-01,1996-12,INACTIVE,57
Spedition Vrancken,,Disponent und stellvertretender Niederlassungsleiter,1987-07,1988-06,INACTIVE,57
Eland-Rindt-Service,,Disponent und stellvertretender Niederlassungsleiter,1986-07,1987-06,INACTIVE,57
Agisped GmbH,,Ausbildung Speditionskaufmann und Disponent,1981-05,1986-06,INACTIVE,57
John Holland,https://www.linkedin.com/company/john-holland,Graduate Engineer,2013-04,,ACTIVE,58
nsru,,site engineer,2014,2015,INACTIVE,58
nsru,,site engineer,2014,2015,INACTIVE,58
Taylor Thomson Whitting,,Undergraduate Structural Engineer,2011-12,2012-02,INACTIVE,58
Saakar Creations Pvt Ltd,,Senior Architect,2020-05,,ACTIVE,59
Architect,https://www.linkedin.com/company/consultant-for-cityscape-architects-inc.,Junior Architect,2014-09,2022-03,INACTIVE,59
Architect Harish Tripathi & Associates,https://www.linkedin.com/company/architect-harish-tripathi-&-associates,Junior Architect,2019-07,2020-06,INACTIVE,59
EFFECTIVE ARCHITECTURE SOLUTIONS LIMITED,https://www.linkedin.com/company/effective-architecture-solutions-limited,Architectural Intern,2019-02,2019-06,INACTIVE,59
Apanna Nirmala Architects Associates,https://www.linkedin.com/company/apanna-nirmala-architects-associates,Architectural Intern,2017-06,2017-12,INACTIVE,59
National Association of Students of Architecture (NASA India),https://www.linkedin.com/company/national-association-of-students-of-architecture-india,Unit Secretary,2016-07,2017-05,INACTIVE,59
DHBW Stuttgart,,Dozent DHBW Stuttgart,2019-02,,ACTIVE,60
Hofmeister,https://www.linkedin.com/company/hofmeister-dienstleistungs-gmbh,Kfm. Leiter/Prokurist,2015-04,,ACTIVE,60
Gerhard Rösch GmbH,https://www.linkedin.com/company/gerhard-roesch-gmbh,Kfm. Leiter,2013-04,2015-04,INACTIVE,60
Bechtle Graphische Betriebe und Verlags- gesellschaft,,Stellv. Kfm. Leiter/Leiter Controlling,2003-12,2013-04,INACTIVE,60
ROiOS,https://www.linkedin.com/company/roios,Mitbegründer und Geschäftsführer,2025-03,,ACTIVE,61
Self-employed,,Systemischer Coach und Organisationsberater,2023-07,,ACTIVE,61
BBT-Gruppe,,Sprecher der Geschäftsführung,2018-01,2023-06,INACTIVE,61
BBT-Gruppe,,Geschäftsführer,2013-09,2023-06,INACTIVE,61
BBT-Gruppe,,Referent des Vorstands,2012,2013,INACTIVE,61
Institut für Weltkirche und Mission,,Gründungsdirektor des IWM,2009,2012,INACTIVE,61
Philosophisch-theologische Hochschule Sankt Georgen,,Hochschulprofessor,2009,2012,INACTIVE,61
Karlsuniversität Prag,,Hochschulprofessor / Prodekan,2002-02,2009-04,INACTIVE,61
Theologische Hochschule Chur,,Hochschulprofessor,2001,2002,INACTIVE,61
Bundeswehr (German Federal Armed Forces),https://www.linkedin.com/company/bundeswehr-german-federal-armed-forces,Medical Service Corps Officer,,,UNKNOWN,62
Veeva Systems,https://www.linkedin.com/company/veeva-systems,Data Researcher,2017-07,,ACTIVE,63
ChinaSoft International,https://www.linkedin.com/company/chinasoft-international,Internet Project Manager,2016-10,2017-03,INACTIVE,63
"Furui Kesi (Peking) Technology Co., Ltd.",,User Experience Designer,2015-09,2016-10,INACTIVE,63
Rainer Schmidt,,"Landscape Designer, Internship",2012-10,2013-04,INACTIVE,63
Harvard,,MD PhD MBA MMSc,2009,,ACTIVE,64
University of Rochester,,Postdoc,2000,2005,INACTIVE,64
The Coca-Cola Company,https://www.linkedin.com/company/the-coca-cola-company,Process Improvement Specialist,2023,2025,INACTIVE,65
Bath & Body Works,https://www.linkedin.com/company/bath-and-body-works,Inventory Control Supervisor,2022,2023,INACTIVE,65
Bath & Body Works,https://www.linkedin.com/company/bath-and-body-works,Customer Solutions Analyst,2021,2022,INACTIVE,65
Bath & Body Works,https://www.linkedin.com/company/bath-and-body-works,International Transportation Analyst,2020,2021,INACTIVE,65
Bath & Body Works,https://www.linkedin.com/company/bath-and-body-works,Operations Lead,2020,2021,INACTIVE,65
DSV - Global Transport and Logistics,https://www.linkedin.com/company/dsv,Logistics Coordinator,2019,2020,INACTIVE,65
The Ohio State University,,Facility Operations Student Coordinator,2017,2019,INACTIVE,65
The Ohio State University,,Facility Operations Student Manager,2016,2017,INACTIVE,65
The Ohio State University,,Facilities Assistant,2015,2016,INACTIVE,65
Hertz,https://www.linkedin.com/company/hertz,Transporter,2017,2017,INACTIVE,65
Sports Authority,https://www.linkedin.com/company/sports-authority,Cashier,2016,2016,INACTIVE,65
LA Fitness,https://www.linkedin.com/company/la-fitness,Front Desk,2014,2015,INACTIVE,65
"HM Elektronikai, Logisztikai és Vagyonkezelő Zrt.",https://www.linkedin.com/company/hm-ei-zrt,System Administrator,2024-05,2025-04,INACTIVE,66
Kyndryl,https://www.linkedin.com/company/kyndryl,VMware Specialist at KMD Managed Services,2021-10,2024-05,INACTIVE,66
IBM,https://www.linkedin.com/company/ibm,VMware Specialist at Nordic Accounts,2019-06,2021-10,INACTIVE,66
Atev Zrt,,System Administrator,2017-09,2019-06,INACTIVE,66
Vital-Comp Kft.,,System Administrator,2016-12,2017-08,INACTIVE,66
Celicourt Communications,https://www.linkedin.com/company/celicourt-communications,Intern,2024-09,2024-09,INACTIVE,67
The Grange Festival,https://www.linkedin.com/company/the-grange-festival,Bar Manager,2024-06,2024-07,INACTIVE,67
Trackeen,https://www.linkedin.com/company/trackeen,Co-Fundador & Lead Developer,2024-05,,ACTIVE,68
Henry,,Full Stack Developer,2022-08,2022-09,INACTIVE,68
Henry,,Full Stack Developer,2022-07,2022-07,INACTIVE,68
TribuMaker (SUP 21'-Build2),https://www.linkedin.com/company/tribu-maker,Platform Manager,2021-08,2022-06,INACTIVE,68
TribuMaker (SUP 21'-Build2),https://www.linkedin.com/company/tribu-maker,Teacher,2021-01,2021-11,INACTIVE,68
AH-3D Impresiones,https://www.linkedin.com/company/ah-3d-impresiones,Owner,2018-10,2022-03,INACTIVE,68
Ultrabot,https://www.linkedin.com/company/ultrabot,Teacher and Developer,2018-01,2018-10,INACTIVE,68
5CA,https://www.linkedin.com/company/5ca,Agent,2012-04,2015-02,INACTIVE,68
Eggplant,,Business Manager DACH,2015-02,2021-02,INACTIVE,69
MeetingZone,https://www.linkedin.com/company/meetingzone,Managing Director,2007,2013,INACTIVE,69
RTS Realtime Systems,https://www.linkedin.com/company/rts-realtime-systems,Sales Account Manager,2005,2007,INACTIVE,69
Bloomberg LP,https://www.linkedin.com/company/bloomberg,Sales Account Manager,2001,2004,INACTIVE,69
HypoVereinsbank - UniCredit Bank AG,https://www.linkedin.com/company/hypovereinsbank,Product Manager Brokerage and Clearing,2000,2001,INACTIVE,69
HypoVereinsbank - UniCredit Bank AG,https://www.linkedin.com/company/hypovereinsbank,Senior Trader Fixed Income,1995,2000,INACTIVE,69
Rail Construction Equipment Co.,,Sales Manager,1991-01,,ACTIVE,70
West Side Tractor Sales Co.,,Sales,1986,2007,INACTIVE,70
Kalmar,https://www.linkedin.com/company/kalmar,"Director, Digital Services Business",2025-02,,ACTIVE,71
Kalmar,https://www.linkedin.com/company/kalmar,E-Commerce Manager,2021-08,2025-02,INACTIVE,71
Kalmar,https://www.linkedin.com/company/kalmar,Manager Third Party Sales,2020-09,2021-07,INACTIVE,71
Kalmar,https://www.linkedin.com/company/kalmar,Global Third Party Sales Coordinator,2020-03,2020-08,INACTIVE,71
Kalmar,https://www.linkedin.com/company/kalmar,Segment Solution Sales Developer & Coordinator,2019-04,2020-03,INACTIVE,71
Kalmar,https://www.linkedin.com/company/kalmar,Management-Trainee,2017-08,2019-04,INACTIVE,71
www.TRENZ.AG,,Administrative Assistant (Student Work),2016-03,2016-08,INACTIVE,71
Speakers Academy®,https://www.linkedin.com/company/speakers-academy,Consultant (Student Work),2015-02,2016-02,INACTIVE,71
SV Werder Bremen GmbH & Co KG aA,https://www.linkedin.com/company/svwerderbremen,Call-Center Agent (Student Work),2013-11,2014-07,INACTIVE,71
Der-Astrid-Hartmann-Prozess,,Unternehmensinhaber,2000-02,,ACTIVE,72
Calandlyceum Amsterdam,https://www.linkedin.com/company/calandlyceum-amsterdam,Docent lichamelijke opvoeding,2020-09,,ACTIVE,73
Dansschool Ponne,,Dans trainer / coach,2017-09,,ACTIVE,73
Tuincentrum Osdorp B.V.,https://www.linkedin.com/company/tuincentrum-osdorp-b.v.,Horecamedewerker,2013-09,2020-09,INACTIVE,73
ams OSRAM,https://www.linkedin.com/company/osram,Marketing Engineer,2020-04,,ACTIVE,74
ams OSRAM,https://www.linkedin.com/company/osram,Product Portfolio Manager,2016-04,2020-03,INACTIVE,74
ams OSRAM,https://www.linkedin.com/company/osram,Field Application Engineer LED Modules and Driver,2014-07,2016-03,INACTIVE,74
Excelitas Technologies,https://www.linkedin.com/company/excelitas-technologies,Project Engineer,2013-03,2014-06,INACTIVE,74
OptoGaN,https://www.linkedin.com/company/optogan,Product Development Engineer,2012-01,2013-03,INACTIVE,74
OptoGaN,https://www.linkedin.com/company/optogan,Process Integration Engineer,2011-04,2011-12,INACTIVE,74
Bosch Solar Energy,https://www.linkedin.com/company/bosch,Prozessingenieur,2009-02,2011-03,INACTIVE,74
Brandt Schokoladen GmbH + Co. KG,https://www.linkedin.com/company/brandt-zwieback-schokoladen,Technischer Leiter,2024-12,,ACTIVE,75
Capri Sun Group,https://www.linkedin.com/company/capri-sun-group,Senior Maintenance Manager Filling,2024-04,2024-12,INACTIVE,75
JERMI Käsewerk GmbH,https://www.linkedin.com/company/jermi-käsewerk-gmbh,Abteilungsleiter Instandhaltung,2021-09,2024-03,INACTIVE,75
Handtmann Systemtechnik,,Abteilungsleiter ST-PI,2005-01,2021-09,INACTIVE,75
Schnaithmann Maschinenbau GmbH,,Servicetechniker Sondermaschinenbau,1995-03,2004-12,INACTIVE,75
Boy Sondermaschinenbau,,Mechaniker im Sondermaschinenbau,1993-11,1995-03,INACTIVE,75
ITT Cannon,,Mechaniker im Sondermaschinenbau,1991-06,1993-11,INACTIVE,75
Willy Rüsch,,Mechaniker in der Produktentwicklung,1990-09,1991-05,INACTIVE,75
Daimler Benz AG,,Mechaniker im Betriebsmittelbau,1989-06,1990-08,INACTIVE,75
Credit Suisse,https://www.linkedin.com/company/credit-suisse,Senior Advisor to the CS Pension Fund in Switzerland,2024-09,,ACTIVE,76
Credit Suisse,https://www.linkedin.com/company/credit-suisse,CEO CS Pension Fund in Switzerland,2014-04,2024-08,INACTIVE,76
European Patent Office,https://www.linkedin.com/company/european-patent-office,Board Member of the Supervisory Board of RFPSS,2018-01,,ACTIVE,76
Schweizerischer Pensionskassenverband ASIP,https://www.linkedin.com/company/pensionskassen,Board Member,2010-05,2022-05,INACTIVE,76
SKPE CSEP,https://www.linkedin.com/company/skpe-csep,Past President,2010-04,2018-04,INACTIVE,76
Nestle S.A.,https://www.linkedin.com/company/nestle-s-a-,Chief Actuary,2003-12,2014-03,INACTIVE,76
Baloise Group,https://www.linkedin.com/company/baloisech,"Senior Manager, Group Internal Audit",2000-01,2003-11,INACTIVE,76
Libera AG,https://www.linkedin.com/company/libera-ag,Senior Pension Actuary,1994,1999-12,INACTIVE,76
DR. JOHANNES HEIDENHAIN GmbH,,Gruppenleiter HR KPI & Reporting,2024-07,,ACTIVE,77
DR. JOHANNES HEIDENHAIN GmbH,,"HR Projektmanager (Projekte, Systeme, Controlling)",2013-04,2024-07,INACTIVE,77
KiK Textilien und Non-Food GmbH,https://www.linkedin.com/company/kik-textilien-und-nonfood-gmbh,Mitarbeiter der Stabstelle der Bereichsleitung Personal – Team Projekte/Berichte,2011-01,2013-03,INACTIVE,77
KiK Textilien und Non-Food GmbH,https://www.linkedin.com/company/kik-textilien-und-nonfood-gmbh,"Duales Studium: Betriebswirt (VWA) / Bachelor of Arts, Ausbildung: Groß- und Außenhandelskaufmann",2009-08,2013-03,INACTIVE,77
secjur GmbH,https://www.linkedin.com/company/secjur,Chief Legal Officer,2021-01,2021-03,INACTIVE,78
Allen & Overy,https://www.linkedin.com/company/allen-overy,Associate,2017,2020-12,INACTIVE,78
thyssenkrupp Materials Schweiz AG,https://www.linkedin.com/company/thyssenkrupp-materials-schweiz,CEO,2013-11,,ACTIVE,79
thyssenkrupp Materials Schweiz AG,https://www.linkedin.com/company/thyssenkrupp-materials-schweiz,CEO,2013-09,,ACTIVE,79
thyssenkrupp Materials Schweiz AG,https://www.linkedin.com/company/thyssenkrupp-materials-schweiz,Verkaufsleiter,2005-11,2013-11,INACTIVE,79
L'éléfàn,https://www.linkedin.com/company/l'éléfàn,Responsable développement projets,2018-03,,ACTIVE,80
Association Rom Action,,Assistante de direction,2016-10,2016-12,INACTIVE,80
Association AGIL,,Assistant gestion de projet,2015-09,2016-04,INACTIVE,80
SCIC La marmite,,Assistante développement projet,2015-01,2015-06,INACTIVE,80
ACIFS - AUDIT CONSEIL INGENIERIE FISCALE ET SOCIALE,https://www.linkedin.com/company/acifs---audit-conseil-ingenierie-fiscale-et-sociale,Collaboratrice comptable,2012-10,2013-07,INACTIVE,80
TDC NET,https://www.linkedin.com/company/tdcnet,Transformation Partner,2024-01,,ACTIVE,81
TDC NET,https://www.linkedin.com/company/tdcnet,Senior Strategy Consultant,2022-07,2024-01,INACTIVE,81
TDC NET,https://www.linkedin.com/company/tdcnet,Strategy Consultant,2021-06,2022-07,INACTIVE,81
TDC NET,https://www.linkedin.com/company/tdcnet,"Graduate, Strategy & Economics",2021-02,2021-06,INACTIVE,81
TDC Group,https://www.linkedin.com/company/tdc-group-split,Finance Graduate,2020-07,2021-01,INACTIVE,81
Danish Crown Foods,https://www.linkedin.com/company/danish-crown,Student Assistant - Commercial Finance,2019-12,2020-07,INACTIVE,81
Danish Crown Foods,https://www.linkedin.com/company/danish-crown,Commercial Finance Intern,2019-08,2019-12,INACTIVE,81
Itadel A/S,https://www.linkedin.com/company/itadel,Student Business Controller,2018-10,2019-08,INACTIVE,81
Mirai Solutions GmbH,https://www.linkedin.com/company/mirai-solutions-gmbh,"Executive Partner, Senior Software Engineer",2011-01,,ACTIVE,82
Mirai Solutions GmbH,https://www.linkedin.com/company/mirai-solutions-gmbh,Senior Solutions Architect,2010-04,2010-12,INACTIVE,82
University of Zurich,,Lecturer,2012,2014,INACTIVE,82
TIBCO Software,https://www.linkedin.com/company/tibco,PSG Architect,2009-04,2010-03,INACTIVE,82
TIBCO Software,https://www.linkedin.com/company/tibco,Senior IT Consultant,2008-09,2009-03,INACTIVE,82
Insightful Corporation,https://www.linkedin.com/company/insightful-corporation,"Senior IT Consultant, European Technical Lead",2007-10,2008-09,INACTIVE,82
Insightful Corporation,https://www.linkedin.com/company/insightful-corporation,Statistical Consultant,2005-05,2007-09,INACTIVE,82
Parallel Informatik AG,,Praktikant,2003-07,2003-09,INACTIVE,82
Welthungerhilfe,https://www.linkedin.com/company/welthungerhilfe,Secretary General/CEO Welthungerhilfe,2018-09,,ACTIVE,83
Welthungerhilfe,https://www.linkedin.com/company/welthungerhilfe,Executive Director Programme and Projects,2009-10,2018-08,INACTIVE,83
Welthungerhilfe,https://www.linkedin.com/company/welthungerhilfe,Head of Sector Unit,2005-08,2009-09,INACTIVE,83
Welthungerhilfe,https://www.linkedin.com/company/welthungerhilfe,Regional Director West Africa,2001-05,2005-07,INACTIVE,83
Welthungerhilfe,https://www.linkedin.com/company/welthungerhilfe,Programm Manager,1998-01,2001-05,INACTIVE,83
VENRO,https://www.linkedin.com/company/venro,Chair of the Board of Directors,2021-12,2023-12,INACTIVE,83
Deutscher Entwicklungsdienst,,Junior Rural Development Expert,1993-05,1995-07,INACTIVE,83
German Society for Materials Science - Deutsche Gesellschaft für Materialkunde e.V. (DGM),https://www.linkedin.com/company/deutsche-gesellschaft-für-materialkunde-e-v-,Fachreferent MatWerk - Materials Engineering Specialist,2024-02,,ACTIVE,84
Immoheld,https://www.linkedin.com/company/immoheld,CEO,2017-10,,ACTIVE,85
FREEMATCH,https://www.linkedin.com/company/freematch,Gesellschafter,2024-04,,ACTIVE,85
Salmax oHG,,Head Of Sales,2015-10,2017-10,INACTIVE,85
Atos,https://www.linkedin.com/company/atos,Projektmanagement & Sales,2012-09,2015-09,INACTIVE,85
Atos,https://www.linkedin.com/company/atos,Intern,2012-02,2012-08,INACTIVE,85
Atos,https://www.linkedin.com/company/atos,Intern,2011-10,2012-01,INACTIVE,85
Siemens,https://www.linkedin.com/company/siemens,Dualer Student,2009-09,2012-08,INACTIVE,85
Deutsche Bundesbank,https://www.linkedin.com/company/deutsche-bundesbank,Statistiker,2023-10,,ACTIVE,86
Commerzbank AG,https://www.linkedin.com/company/commerzbank-ag,Business Expert,2018-07,2023-09,INACTIVE,86
Goethe-Universität Frankfurt a. Main,,Wissenschaftlicher Mitarbeiter,2013-01,2017-09,INACTIVE,86
Bee4GIS,https://www.linkedin.com/company/bee4gis,Chief Operating Officer,2023-12,,ACTIVE,87
UnitedWit Engineering,,Co Owner,2016-01,2025-02,INACTIVE,87
